district,candidate,party,votes_received
Galle,OSHALA HERATH,NIF,2
Matara,AKMEEMANA DAYARATHANA THERO,IND1,6
Matara,ABUBAKAR MOHAMED INFAS,DUA,5
Matara,SIRIPALA AMARASINGHE,IND2,1
Matara,K.K. PIYADASA,IND4,10
Matara,SARATH KEERTHIRATHNA,IND5,3
Matara,K.A. KULARATNA,IND6,1
Matara,K.R. KRISHAN,APP,2
Matara,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,2
Matara,DILITH JAYAWEERA,SLCP,259
Matara,SIRITUNGA JAYASURIYA,USP,2
Matara,MYLVAGANAM THILAKARAJAH,IND8,0
Matara,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,21
Matara,LALITH DE SILVA,UNFF,2
Matara,AJANTHA DE ZOYSA,RJA,11
Matara,ANURA KUMARA DISSANAYAKE,NPP,19712
Matara,MAHINDA DEWAGE,SLSP,3
Matara,ARIYANETHIRAN PAKKIYASELVAM,IND9,1
Matara,VICTOR PERERA,IND10,3
Matara,ANURUDDHA POLGAMPALA,IND11,1
Matara,SAJITH PREMADASA,SJB,4041
Matara,SARATH FONSEKA,IND12,25
Matara,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,18
Matara,SARATH BANDARANAYAKE,NDF,2
Matara,BATHTHARAMULLE SEELARATHANA THERO,JSP,10
Matara,NUWAN BOPEGE,SPF,38
Matara,SARATH MANAMENDRA,NSU,2
Matara,PEMASIRI MANAGE,IND14,0
Matara,ANURUDDHA ROSHAN RANASINGHE,IND15,11
Matara,JANAKA RATNAYAKE,ELPP,2
Matara,NAMAL RAJAPAKSHA,SBP,41
Matara,NAMAL RAJAPAKSA,SLPP,543
Matara,WIJEYADASA RAJAPAKSHE,JPF,19
Matara,A.S.P. LIYANAGE,SLLP,2
Matara,KEERTHIE WICKRAMARATNE,AJP,5
Matara,PRIYANTHA WICKRAMASINGHE,NSSP,6
Matara,RANIL WICKREMESINGHE,IND16,5088
Matara,PANI WIJESIRIWARDENA,SEP,3
Matara,OSHALA HERATH,NIF,3
Hambantota,AKMEEMANA DAYARATHANA THERO,IND1,9
Hambantota,ABUBAKAR MOHAMED INFAS,DUA,2
Hambantota,SIRIPALA AMARASINGHE,IND2,4
Hambantota,K.K. PIYADASA,IND4,13
Hambantota,SARATH KEERTHIRATHNA,IND5,2
Hambantota,K.A. KULARATNA,IND6,2
Hambantota,K.R. KRISHAN,APP,2
Hambantota,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,2
Hambantota,DILITH JAYAWEERA,SLCP,105
Hambantota,SIRITUNGA JAYASURIYA,USP,5
Hambantota,MYLVAGANAM THILAKARAJAH,IND8,2
Hambantota,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,13
Hambantota,LALITH DE SILVA,UNFF,3
Hambantota,AJANTHA DE ZOYSA,RJA,4
Hambantota,ANURA KUMARA DISSANAYAKE,NPP,14482
Hambantota,MAHINDA DEWAGE,SLSP,1
Hambantota,ARIYANETHIRAN PAKKIYASELVAM,IND9,5
Hambantota,VICTOR PERERA,IND10,1
Hambantota,ANURUDDHA POLGAMPALA,IND11,2
Hambantota,SAJITH PREMADASA,SJB,3397
Hambantota,SARATH FONSEKA,IND12,13
Hambantota,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,20
Hambantota,SARATH BANDARANAYAKE,NDF,2
Hambantota,BATHTHARAMULLE SEELARATHANA THERO,JSP,4
Hambantota,NUWAN BOPEGE,SPF,31
Hambantota,SARATH MANAMENDRA,NSU,0
Hambantota,PEMASIRI MANAGE,IND14,0
Hambantota,ANURUDDHA ROSHAN RANASINGHE,IND15,4
Hambantota,JANAKA RATNAYAKE,ELPP,1
Hambantota,NAMAL RAJAPAKSHA,SBP,53
Hambantota,NAMAL RAJAPAKSA,SLPP,819
Hambantota,WIJEYADASA RAJAPAKSHE,JPF,31
Hambantota,A.S.P. LIYANAGE,SLLP,4
Hambantota,KEERTHIE WICKRAMARATNE,AJP,1
Hambantota,PRIYANTHA WICKRAMASINGHE,NSSP,7
Hambantota,RANIL WICKREMESINGHE,IND16,2502
Hambantota,PANI WIJESIRIWARDENA,SEP,0
Hambantota,OSHALA HERATH,NIF,1
Jaffna,AKMEEMANA DAYARATHANA THERO,IND1,31
Jaffna,ABUBAKAR MOHAMED INFAS,DUA,18
Jaffna,SIRIPALA AMARASINGHE,IND2,8
Jaffna,K.K. PIYADASA,IND4,197
Jaffna,SARATH KEERTHIRATHNA,IND5,22
Jaffna,K.A. KULARATNA,IND6,7
Jaffna,K.R. KRISHAN,APP,8
Jaffna,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,5
Jaffna,DILITH JAYAWEERA,SLCP,17
Jaffna,SIRITUNGA JAYASURIYA,USP,16
Jaffna,MYLVAGANAM THILAKARAJAH,IND8,29
Jaffna,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,7
Jaffna,LALITH DE SILVA,UNFF,6
Jaffna,AJANTHA DE ZOYSA,RJA,7
Jaffna,ANURA KUMARA DISSANAYAKE,NPP,2250
Jaffna,MAHINDA DEWAGE,SLSP,8
Jaffna,ARIYANETHIRAN PAKKIYASELVAM,IND9,4207
Jaffna,VICTOR PERERA,IND10,12
Jaffna,ANURUDDHA POLGAMPALA,IND11,23
Jaffna,SAJITH PREMADASA,SJB,7640
Jaffna,SARATH FONSEKA,IND12,44
Jaffna,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,7
Jaffna,SARATH BANDARANAYAKE,NDF,4
Jaffna,BATHTHARAMULLE SEELARATHANA THERO,JSP,6
Jaffna,NUWAN BOPEGE,SPF,16
Jaffna,SARATH MANAMENDRA,NSU,8
Jaffna,PEMASIRI MANAGE,IND14,3
Jaffna,ANURUDDHA ROSHAN RANASINGHE,IND15,17
Jaffna,JANAKA RATNAYAKE,ELPP,2
Jaffna,NAMAL RAJAPAKSHA,SBP,20
Jaffna,NAMAL RAJAPAKSA,SLPP,79
Jaffna,WIJEYADASA RAJAPAKSHE,JPF,12
Jaffna,A.S.P. LIYANAGE,SLLP,3
Jaffna,KEERTHIE WICKRAMARATNE,AJP,3
Jaffna,PRIYANTHA WICKRAMASINGHE,NSSP,25
Jaffna,RANIL WICKREMESINGHE,IND16,9277
Jaffna,PANI WIJESIRIWARDENA,SEP,12
Jaffna,OSHALA HERATH,NIF,5
Vanni,AKMEEMANA DAYARATHANA THERO,IND1,8
Vanni,ABUBAKAR MOHAMED INFAS,DUA,8
Vanni,SIRIPALA AMARASINGHE,IND2,3
Vanni,K.K. PIYADASA,IND4,113
Vanni,SARATH KEERTHIRATHNA,IND5,6
Vanni,K.A. KULARATNA,IND6,2
Vanni,K.R. KRISHAN,APP,6
Vanni,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,2
Vanni,DILITH JAYAWEERA,SLCP,13
Vanni,SIRITUNGA JAYASURIYA,USP,4
Vanni,MYLVAGANAM THILAKARAJAH,IND8,6
Vanni,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,5
Vanni,LALITH DE SILVA,UNFF,3
Vanni,AJANTHA DE ZOYSA,RJA,2
Vanni,ANURA KUMARA DISSANAYAKE,NPP,2092
Vanni,MAHINDA DEWAGE,SLSP,3
Vanni,ARIYANETHIRAN PAKKIYASELVAM,IND9,1160
Vanni,VICTOR PERERA,IND10,5
Vanni,ANURUDDHA POLGAMPALA,IND11,6
Vanni,SAJITH PREMADASA,SJB,4899
Vanni,SARATH FONSEKA,IND12,17
Vanni,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,17
Vanni,SARATH BANDARANAYAKE,NDF,6
Vanni,BATHTHARAMULLE SEELARATHANA THERO,JSP,3
Vanni,NUWAN BOPEGE,SPF,6
Vanni,SARATH MANAMENDRA,NSU,3
Vanni,PEMASIRI MANAGE,IND14,3
Vanni,ANURUDDHA ROSHAN RANASINGHE,IND15,3
Vanni,JANAKA RATNAYAKE,ELPP,3
Vanni,NAMAL RAJAPAKSHA,SBP,5
Vanni,NAMAL RAJAPAKSA,SLPP,68
Vanni,WIJEYADASA RAJAPAKSHE,JPF,6
Vanni,A.S.P. LIYANAGE,SLLP,2
Vanni,KEERTHIE WICKRAMARATNE,AJP,1
Vanni,PRIYANTHA WICKRAMASINGHE,NSSP,11
Vanni,RANIL WICKREMESINGHE,IND16,4257
Vanni,PANI WIJESIRIWARDENA,SEP,2
Vanni,OSHALA HERATH,NIF,5
Batticaloa,AKMEEMANA DAYARATHANA THERO,IND1,2
Batticaloa,ABUBAKAR MOHAMED INFAS,DUA,2
Batticaloa,SIRIPALA AMARASINGHE,IND2,5
Batticaloa,K.K. PIYADASA,IND4,40
Batticaloa,SARATH KEERTHIRATHNA,IND5,3
Batticaloa,K.A. KULARATNA,IND6,0
Batticaloa,K.R. KRISHAN,APP,0
Batticaloa,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,0
Batticaloa,DILITH JAYAWEERA,SLCP,7
Batticaloa,SIRITUNGA JAYASURIYA,USP,2
Batticaloa,MYLVAGANAM THILAKARAJAH,IND8,4
Batticaloa,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,2
Batticaloa,LALITH DE SILVA,UNFF,0
Batticaloa,AJANTHA DE ZOYSA,RJA,3
Batticaloa,ANURA KUMARA DISSANAYAKE,NPP,2479
